lambda,f1,f2,predicate,risk_1,risk_2,smape
2,65.15871233507018,65.66860672205435,R,0.09160214986931074,0.039235412474849095,0.003530753820599855
2,129.31396943408737,131.3372134441087,VER,0.1505160898485612,0.06966800804828974,0.016355760564279963
2,129.31396943408737,131.3372134441087,ER,0.1465020784034489,0.07117706237424547,0.012741815388767966
2,129.31396943408737,131.3372134441087,R,0.08229413670879969,0.030181086519114688,0.014514990177458777
2,192.84975994045385,197.00582016616303,VER,0.14259355463729362,0.061745472837022135,0.024454171860519545
2,192.84975994045385,197.00582016616303,ER,0.14272207418556182,0.06790744466800805,0.018772176500642657
2,192.84975994045385,197.00582016616303,R,0.08229129244624858,0.029678068410462777,0.015513947594790333
2,255.6446957643103,262.6744268882174,VER,0.13467101942602602,0.053822937625754526,0.03247470677315151
2,255.6446957643103,262.6744268882174,ER,0.1312705885393588,0.056841046277665994,0.0309743791380599
2,255.6446957643103,262.6744268882174,R,0.0692018661200689,0.01710261569416499,0.030834497199164257
2,317.86351416754525,328.34303361027173,VER,0.1268742387419214,0.0460261569416499,0.040452040511446664
2,317.86351416754525,328.34303361027173,ER,0.1247204107952081,0.05080482897384306,0.038866920183662675
2,317.86351416754525,328.34303361027173,R,0.06038723800078683,0.008551307847082495,0.04138750004470571
2,378.81262062146163,394.01164033232607,VER,0.11920321258497975,0.03835513078470825,0.04828508795191685
2,378.81262062146163,394.01164033232607,ER,0.11614082454844954,0.04275653923541248,0.04926976665213445
2,378.81262062146163,394.01164033232607,R,0.058362362926450376,0.007545271629778672,0.04529890161352114
2,439.07879808086506,459.6802470543804,VER,0.1115321864280381,0.0306841046277666,0.056059521770686634
2,439.07879808086506,459.6802470543804,ER,0.10945120364118613,0.036468812877263584,0.05753719032078873
2,439.07879808086506,459.6802470543804,R,0.05405561729380172,0.0035211267605633804,0.05233449347642969
2,498.48975614990525,525.3488537764348,VER,0.1041126693254224,0.023264587525150905,0.06371814423691886
2,498.48975614990525,525.3488537764348,ER,0.09808541730243073,0.02590543259557344,0.07007848497450417
2,498.48975614990525,525.3488537764348,R,0.05202636460341051,0.0015090543259557343,0.05513255849801562
2,557.2231275835818,591.0174604984892,VER,0.09669315222280671,0.01584507042253521,0.07133836903239851
2,557.2231275835818,591.0174604984892,ER,0.08885872988999258,0.017354124748490945,0.08052550897866069
2,557.2231275835818,591.0174604984892,R,0.051752600927922617,0.001006036217303823,0.05716796754808442
2,615.0539643939837,656.6860672205435,VER,0.089399389647354,0.008551307847082495,0.07885474872422465
2,615.0539643939837,656.6860672205435,ER,0.08189259769352976,0.011820925553319919,0.08904290747523774
2,615.0539643939837,656.6860672205435,R,0.05148083784196726,0.001006036217303823,0.05871157323237565
2,669.9032677483285,722.3546739425977,VER,0.08260864518055319,0.0017605633802816902,0.08602642813157238
2,669.9032677483285,722.3546739425977,ER,0.07235953271534909,0.0032696177062374247,0.1000436953444743
2,669.9032677483285,722.3546739425977,R,0.051192773661778095,0.001006036217303823,0.059964543744885336
2,707.4990417965714,788.0232806646521,VER,0.07782980480231758,0.0,0.09382977690716864
2,707.4990417965714,788.0232806646521,ER,0.06769155791957662,0.0,0.10706572537795345
2,707.4990417965714,788.0232806646521,R,0.04758616970124307,0.0,0.06807809881740645
2,738.5158569454885,853.6918873867065,VER,0.07386138380802734,0.0,0.10180665459150241
2,738.5158569454885,853.6918873867065,ER,0.06581546717110252,0.0,0.11293065101371536
2,738.5158569454885,853.6918873867065,R,0.0459052699565096,0.0,0.07344282311238431
2,768.6873795027677,919.3604941087608,VER,0.07013553549385168,0.0,0.10960092536311718
2,768.6873795027677,919.3604941087608,ER,0.06279812245809908,0.0,0.12117659678893884
2,768.6873795027677,919.3604941087608,R,0.04589835048445631,0.0,0.07483421758633456
2,798.1230973859037,985.0291008308152,VER,0.06640423337121688,0.0,0.11726998846816179
2,798.1230973859037,985.0291008308152,ER,0.05880996012922896,0.0,0.13109308475970188
2,798.1230973859037,985.0291008308152,R,0.04193644424260402,0.0,0.08572202668803315
2,825.4310001198362,1050.6977075528696,VER,0.06290723016992496,0.0,0.12451783006967396
2,825.4310001198362,1050.6977075528696,ER,0.05514074731026845,0.0,0.14016143451762436
2,825.4310001198362,1050.6977075528696,R,0.03630367926731892,0.0,0.09947532444675404
2,851.0696959624546,1116.366314274924,VER,0.05958887684532386,0.0,0.1313644909973363
2,851.0696959624546,1116.366314274924,ER,0.05098696616651279,0.0,0.14993978579063863
2,851.0696959624546,1116.366314274924,R,0.03500107370968613,0.0,0.1046051290354693
2,876.2851962464722,1182.0349209969784,VER,0.056374304753789475,0.0,0.13808465121967842
2,876.2851962464722,1182.0349209969784,ER,0.04745003961320157,0.0,0.158489032861257
2,876.2851962464722,1182.0349209969784,R,0.03460056438741761,0.0,0.10811139193557574
2,900.0399155437842,1247.7035277190325,VER,0.053269298811593535,0.0,0.14446250271539632
2,900.0399155437842,1247.7035277190325,ER,0.04420421013310797,0.0,0.16675446274838027
2,900.0399155437842,1247.7035277190325,R,0.03399155354559441,0.0,0.1117663668227983
2,921.5,1313.372134441087,VER,0.05040966937464509,0.0,0.15029784090906959
2,921.5,1313.372134441087,ER,0.04135312573656441,0.0,0.17386508048120483
2,921.5,1313.372134441087,R,0.03299463105170857,0.0,0.11566320506160824
3,0.0,0.0,VER,0.16673842385258536,0.08601609657947686,0.0
3,0.0,0.0,ER,0.15656620222683154,0.08098591549295775,0.0
3,0.0,0.0,R,0.09411737298135261,0.041750503018108655,0.0
3,139.6506657640853,141.98809129305562,VER,0.14925854457693144,0.06841046277665996,0.017668086523558196
3,139.6506657640853,141.98809129305562,ER,0.14574631280514916,0.07042253521126761,0.013813439498091
3,139.6506657640853,141.98809129305562,R,0.08254538856416388,0.030181086519114688,0.014306148204672114
3,275.95427954326834,283.97618258611124,VER,0.13215592888276645,0.05130784708249497,0.03508334633851537
3,275.95427954326834,283.97618258611124,ER,0.12724488314404386,0.05306841046277666,0.03541804808435173
3,275.95427954326834,283.97618258611124,R,0.06165493570543104,0.009054325955734407,0.03864976665184656
3,408.2814793209259,425.96427387916685,VER,0.11543057677009042,0.03458249496981891,0.052078915608101066
3,408.2814793209259,425.96427387916685,ER,0.11160487571471303,0.03898390342052314,0.05437209135880845
3,408.2814793209259,425.96427387916685,R,0.054827958440010864,0.0035211267605633804,0.05030158878517273
3,536.7209885918742,567.9523651722225,VER,0.09933399729322925,0.018485915492957746,0.06865765914338956
3,536.7209885918742,567.9523651722225,ER,0.0903857695994238,0.018108651911468814,0.07850978066768605
3,536.7209885918742,567.9523651722225,R,0.05201835912485685,0.0015090543259557343,0.05621217863670926
3,659.9718937664727,709.9404564652781,VER,0.08386619045218296,0.0030181086519114686,0.0847319156301979
3,659.9718937664727,709.9404564652781,ER,0.07400123224525658,0.004527162977867203,0.09809248350493248
3,659.9718937664727,709.9404564652781,R,0.05147146556756351,0.001006036217303823,0.05924173966423767
3,737.6953215283161,851.9285477583337,VER,0.0739944600698892,0.0,0.10160110013565284
