114,149,0,5,0,3,9,8,5,0,0,0,8,0,488
464,577,1,9,0,6,56,41,6,1,1,0,25,3,2108
417,250,0,12,0,5,20,31,8,2,0,0,14,0,2433
299,744,6,27,1,9,43,27,45,1,1,1,110,2,1439
343,5,0,13,0,2,8,4,2,0,0,0,0,0,2250
940,313,4,21,0,2,45,34,19,1,1,0,88,3,3512
283,231,0,4,0,6,9,14,0,0,0,0,3,0,2677
1264,62,1,16,0,9,30,40,1,0,0,2,11,0,4538
238,14,3,32,0,0,6,27,0,0,1,0,1,0,1503
529,109,0,49,0,2,20,39,8,0,0,0,40,0,2370
735,118,4,215,0,2,23,32,2,0,0,0,13,1,3182
609,106,1,69,0,5,10,25,11,0,0,0,59,0,2106
1028,157,1,123,0,6,49,25,2,0,1,0,16,5,3120
527,639,4,46,0,13,55,30,22,0,0,1,26,4,2072
703,600,2,39,0,9,49,32,8,4,1,0,41,0,1922
457,480,4,22,0,8,25,37,17,0,1,0,30,2,2570
313,717,2,17,4,7,38,43,30,0,0,0,95,3,1997
1068,266,3,17,2,3,47,26,3,0,0,0,19,5,2958
980,273,2,126,0,7,59,37,2,3,1,0,31,1,4461
1275,81,3,22,0,9,30,31,2,0,1,0,8,3,4434
1128,139,0,25,0,9,30,26,3,1,1,0,7,0,4496
531,86,1,17,0,2,27,23,8,0,0,0,8,5,1687
765,337,3,45,0,6,52,19,6,3,0,0,20,2,2738
125,0,2,5,0,0,1,0,0,0,0,0,0,0,452
324,296,3,19,0,10,27,13,4,0,0,0,19,2,1305
848,43,0,99,2,1,23,11,0,0,0,0,0,0,1899
361,54,0,15,0,3,8,20,2,0,0,0,6,0,2785
445,101,0,29,0,1,16,29,0,0,1,0,5,1,2966
895,84,2,242,0,3,21,25,2,0,1,0,4,0,3409
2364,82,1,155,4,8,42,32,1,0,0,0,13,2,4728
1646,210,3,102,0,5,21,52,7,1,0,0,10,2,5657
613,38,2,30,2,1,11,15,4,0,0,0,4,0,1875
1604,939,1,48,0,16,79,49,18,2,2,0,42,2,5394
1740,983,1,41,0,13,56,55,16,0,2,0,20,2,4850
909,257,1,53,0,4,39,25,10,0,0,0,43,2,3168
517,96,1,5,0,3,19,18,0,0,0,0,15,2,1836
474,49,2,16,0,9,16,11,0,0,0,0,5,0,2021
1187,287,1,50,0,20,37,39,15,0,0,0,5,4,3393
1013,151,6,84,0,5,31,26,5,0,0,0,16,2,3503
897,241,1,33,3,7,25,16,7,2,0,0,9,2,2443
47,510,0,2,0,0,15,0,2,1,0,0,3,1,113
54,936,0,1,0,2,25,3,11,2,0,0,13,2,291
