lambda,f1,f2,predicate,risk_1,risk_2,utility,time,q
3,255.4440952,262.4642739,ER,0.13227654,0.057595573,0.966209009,0.386999846,15
3,255.4440952,262.4642739,R,0.071215232,0.01861167,0.96680505,0.386999846,15
3,338.0322236,349.9523652,VER,0.124196175,0.043385312,0.955991906,0.385999918,20
3,338.0322236,349.9523652,ER,0.120309243,0.047032193,0.952115305,0.385999918,20
3,338.0322236,349.9523652,R,0.058369359,0.007545272,0.950482349,0.385999918,20
3,418.8013134,437.4404565,VER,0.114108547,0.03332495,0.944989882,0.381999969,25
3,418.8013134,437.4404565,ER,0.110343055,0.037474849,0.938438674,0.381999969,25
3,418.8013134,437.4404565,R,0.053310914,0.002515091,0.940351577,0.381999969,25
3,498.1114807,524.9285478,VER,0.104009779,0.023264588,0.933987859,0.380999804,30
3,498.1114807,524.9285478,ER,0.097079783,0.024647887,0.921322563,0.380999804,30
3,498.1114807,524.9285478,R,0.053035261,0.002515091,0.935033061,0.380999804,30
3,576.2013477,612.4166391,VER,0.094155796,0.013455734,0.922985835,0.380999804,35
3,576.2013477,612.4166391,ER,0.085829508,0.014336016,0.906553089,0.380999804,35
3,576.2013477,612.4166391,R,0.051498238,0.001006036,0.93056661,0.380999804,35
3,651.8992842,699.9047303,VER,0.084656709,0.004024145,0.911983812,0.379000187,40
3,651.8992842,699.9047303,ER,0.07592461,0.006036217,0.892565918,0.379000187,40
3,651.8992842,699.9047303,R,0.051473933,0.001006036,0.927659951,0.379000187,40
3,707.1909766,787.3928216,VER,0.077543096,0,0.900981788,0.374000072,45
3,707.1909766,787.3928216,ER,0.067587828,0,0.879658267,0.374000072,45
3,707.1909766,787.3928216,R,0.047423692,0,0.917414496,0.374000072,45
3,748.3375698,874.8809129,VER,0.072372515,0,0.889979764,0.387000084,50
3,748.3375698,874.8809129,ER,0.064657955,0,0.869754748,0.387000084,50
3,748.3375698,874.8809129,R,0.045904997,0,0.910459689,0.387000084,50
3,788.1095084,962.3690042,VER,0.0673183,0,0.878977741,0.387000084,55
3,788.1095084,962.3690042,ER,0.059805596,0,0.855679564,0.387000084,55
3,788.1095084,962.3690042,R,0.042107128,0,0.898912306,0.387000084,55
3,825.0978748,1049.857096,VER,0.062670968,0,0.867975717,0.388999939,60
3,825.0978748,1049.857096,ER,0.055457135,0,0.842086782,0.388999939,60
3,825.0978748,1049.857096,R,0.036695173,0,0.880888717,0.388999939,60
3,859.220739,1137.345187,VER,0.058306994,0,0.856973694,0.375,65
3,859.220739,1137.345187,ER,0.050077509,0,0.826323605,0.375,65
3,859.220739,1137.345187,R,0.035161642,0,0.871567356,0.375,65
3,891.9990761,1224.833278,VER,0.054045386,0,0.84597167,0.397000074,70
3,891.9990761,1224.833278,ER,0.045579144,0,0.811827511,0.397000074,70
3,891.9990761,1224.833278,R,0.033994321,0,0.862231207,0.397000074,70
3,921.492794,1312.321369,VER,0.050223095,0,0.834969647,0.384000063,75
3,921.492794,1312.321369,ER,0.042227333,0,0.80038199,0.384000063,75
3,921.492794,1312.321369,R,0.03318429,0,0.855877806,0.384000063,75
3,948.4851087,1399.809461,VER,0.046767198,0,0.823967623,0.411999941,80
3,948.4851087,1399.809461,ER,0.039882971,0,0.789026571,0.411999941,80
3,948.4851087,1399.809461,R,0.03230985,0,0.849427746,0.411999941,80
3,972.9172939,1487.297552,VER,0.043604467,0,0.8129656,0.38499999,85
3,972.9172939,1487.297552,ER,0.037032885,0,0.775565646,0.38499999,85
3,972.9172939,1487.297552,R,0.029827852,0,0.834888844,0.38499999,85
3,995.1821808,1574.785643,VER,0.040714885,0,0.801963576,0.395999908,90
3,995.1821808,1574.785643,ER,0.0349073,0,0.762702642,0.395999908,90
3,995.1821808,1574.785643,R,0.028288071,0,0.823384659,0.395999908,90
3,1014.219926,1662.273735,VER,0.038169088,0,0.790961552,0.398000002,95
3,1014.219926,1662.273735,ER,0.032552856,0,0.749306512,0.398000002,95
3,1014.219926,1662.273735,R,0.027027269,0,0.811718494,0.398000002,95
3,1031.166667,1749.761826,VER,0.035874975,0,0.779959529,0.386000156,100
3,1031.166667,1749.761826,ER,0.029629464,0,0.734286555,0.386000156,100
3,1031.166667,1749.761826,R,0.026877765,0,0.807185629,0.386000156,100
