lambda,coverage,u,predicate,p_mape,risk_1,risk_2,smape
3,1,1,VER,1.0,0.1466088642227826,0.09285714285714286,0.14840141961522027
3,1,1,ER,,0.1520083185903019,0.07142857142857142,0.12044309533162958
3,1,1,R,,0.1072370152573084,0.02857142857142857,0.1280384543609169
3,1,1.5,VER,1.5,0.14125172136563974,0.08571428571428572,0.15960205076822964
3,1,1.5,ER,,0.15404125535729588,0.07857142857142857,0.1179025474590228
3,1,1.5,R,,0.1349971104387277,0.05714285714285714,0.0912086562297457
3,1,2,VER,2.0,0.13946600707992546,0.08928571428571429,0.16723893244939714
3,1,2,ER,,0.1551715838964243,0.07857142857142857,0.12213417440497297
3,1,2,R,,0.12776513062875386,0.05714285714285714,0.11896094458555735
3,2,0.05,VER,0.05000000000000001,0.20248178237699563,0.11428571428571428,0.040482936445734086
3,2,0.05,ER,,0.18593527194824436,0.08571428571428572,0.02505776143165223
3,2,0.05,R,,0.14051318114743314,0.05714285714285714,0.03446047996144305
3,2,0.1,VER,0.10000000000000003,0.18507625970760466,0.11428571428571428,0.08026636207326991
3,2,0.1,ER,,0.1771477531637887,0.08571428571428572,0.05746436153209746
3,2,0.1,R,,0.13695109706977965,0.05714285714285714,0.05856368707530612
3,2,0.5,VER,0.5000000000000002,0.1608945785084969,0.10714285714285714,0.12786921981326685
3,2,0.5,ER,,0.16546826512159168,0.08571428571428572,0.09399982428232084
3,2,0.5,R,,0.13629377880733304,0.05714285714285714,0.08318591169705458
3,2,1,VER,1.0,0.1466088642227826,0.09285714285714286,0.14840141961522027
3,2,1,ER,,0.1520083185903019,0.07142857142857142,0.12044309533162958
3,2,1,R,,0.1072370152573084,0.02857142857142857,0.1280384543609169
3,2,1.5,VER,1.5,0.14125172136563974,0.08571428571428572,0.15960205076822964
3,2,1.5,ER,,0.15404125535729588,0.07857142857142857,0.1179025474590228
3,2,1.5,R,,0.1349971104387277,0.05714285714285714,0.0912086562297457
3,2,2,VER,2.0,0.13946600707992546,0.08928571428571429,0.16723893244939714
3,2,2,ER,,0.1551715838964243,0.07857142857142857,0.12213417440497297
3,2,2,R,,0.12776513062875386,0.05714285714285714,0.11896094458555735
