white,black,aian,aapi,others,nva,va,nh,h,total,diff
0.860062893,0.071147799,0.002751572,0.051100629,0.014937107,0.05581761,0.94418239,0.952437107,0.047562893,2544,-10
0.854627767,0.050301811,0.002012072,0.076458753,0.016599598,0.044768612,0.955231388,0.964285714,0.035714286,1988,-14
0.916194453,0.027736356,0.004473606,0.040858932,0.010736654,0.036087086,0.963912914,0.971070683,0.028929317,3353,-12
0.890178852,0.071854409,0.002196423,0.021650455,0.014119862,0.090053342,0.909946658,0.973956699,0.026043301,3187,-9
0.927927928,0.026463964,0.001689189,0.03490991,0.009009009,0.025337838,0.974662162,0.976914414,0.023085586,1776,-11
0.808333333,0.148888889,0.003333333,0.025,0.014444444,0.093888889,0.906111111,0.972777778,0.027222222,1800,-6
0.116033755,0.848804501,0.011251758,0.010548523,0.013361463,0.307313643,0.692686357,0.985935302,0.014064698,1422,-15
0.133835666,0.810548977,0.003229279,0.014711159,0.037674919,0.265877287,0.734122713,0.950484392,0.049515608,2787,10
0.179407176,0.796021841,0.001950078,0.00624025,0.016380655,0.211388456,0.788611544,0.983229329,0.016770671,2564,-11
0.245075467,0.556919928,0.007162957,0.006907137,0.18393451,0.266052699,0.733947301,0.785111282,0.214888718,3909,9
0.235424764,0.656857301,0.008328706,0.012215436,0.087173792,0.218212104,0.781787896,0.884508606,0.115491394,1801,11
0.28072763,0.659783677,0.003441495,0.01179941,0.044247788,0.283677483,0.716322517,0.934119961,0.065880039,2034,-9
0.759598604,0.212041885,0.001745201,0.006980803,0.019633508,0.212041885,0.787958115,0.966841187,0.033158813,2292,-13
0.307624113,0.620124113,0.001329787,0.020833333,0.050088652,0.321365248,0.678634752,0.941932624,0.058067376,2256,-18
0.574758575,0.384282384,0.002664003,0.011322011,0.026973027,0.198135198,0.801864802,0.963369963,0.036630037,3003,5
0.279586563,0.669250646,0.003617571,0.010335917,0.037209302,0.256847545,0.743152455,0.953488372,0.046511628,1935,-16
0.607429295,0.370198396,0.002110595,0.012241452,0.008020262,0.119037569,0.880962431,0.989869143,0.010130857,2369,-15
