TRACT,0,10000,20000,30000,40000,50000,60000,1,10001,20001,30001,40001,50001,60001,100,10100,20100,30100,40100,50100,60100,101,10101,20101,30101,40101,50101,60101,white,black,aian,aapi,others,nva,va,nh,h,total,flag,diff
39049004000,17,26,0,1,0,1,0,3,1,0,0,0,1,0,1823,749,9,111,0,8,1,55,9,1,0,0,21,0,1898,785,10,112,32,50,2787,2746,91,2837,Net-outflow,-9
39049004200,92,277,0,0,0,4,14,12,9,0,0,0,1,1,385,498,4,1,2,0,1,14,5,1,0,0,4,1,503,789,5,3,26,410,916,1278,48,1326,Net-outflow,-8
39049004300,430,122,0,16,0,8,18,22,11,0,0,0,17,2,4045,362,13,244,1,13,16,57,3,0,1,1,71,2,4554,498,13,263,147,646,4829,5288,187,5475,Net-inflow,10
39049004500,1062,212,1,10,0,12,56,25,5,4,1,0,41,4,2887,443,16,51,0,9,17,45,13,6,0,0,61,1,4019,673,27,62,201,1433,3549,4776,206,4982,Net-inflow,17
39049004610,502,29,2,13,0,8,23,12,0,0,0,0,11,7,2379,156,9,21,1,3,6,55,4,0,1,0,54,2,2948,189,11,36,114,607,2691,3152,146,3298,Net-inflow,11
39049004620,526,146,0,14,0,6,43,28,4,0,0,0,51,7,1306,220,12,47,0,5,10,51,5,1,0,0,65,0,1911,375,13,61,187,825,1722,2335,212,2547,Net-inflow,19
39049004700,812,475,7,31,2,6,86,17,6,3,0,0,101,4,1794,1055,21,50,0,6,20,74,19,5,0,1,134,0,2697,1555,36,84,357,1550,3179,4365,364,4729,Net-inflow,14
39049004810,556,98,2,16,0,5,19,8,2,1,0,0,34,2,1732,173,5,55,0,4,6,45,6,3,0,0,41,0,2341,279,11,71,111,743,2070,2671,142,2813,Net-outflow,-10
39049004820,429,141,2,19,0,5,19,14,5,0,0,0,40,1,1344,349,6,38,1,2,6,31,2,0,4,0,60,0,1818,497,8,62,133,675,1843,2361,157,2518,Net-outflow,-8
39049004900,856,354,3,21,0,11,53,47,10,1,1,3,70,4,2886,843,12,84,1,1,14,93,13,2,0,3,90,0,3882,1220,18,113,243,1434,4042,5139,337,5476,Net-inflow,5
39049005000,1112,240,4,9,0,6,53,16,2,1,0,0,9,4,2893,539,23,37,0,1,15,39,5,3,0,0,20,0,4060,786,31,46,108,1456,3575,4932,99,5031,Net-inflow,13
39049005100,138,453,5,3,5,3,22,12,5,0,0,0,2,0,659,537,5,10,2,1,4,8,1,0,0,0,8,0,817,996,10,20,40,648,1235,1847,36,1883,Net-outflow,-12
39049005200,106,14,0,1,0,3,4,10,0,0,0,0,0,0,2162,123,4,54,0,1,2,37,2,0,3,0,6,0,2315,139,4,58,16,138,2394,2474,58,2532,Net-outflow,-12
39049005300,56,637,1,1,0,2,20,3,7,0,1,0,0,1,594,1594,8,16,0,2,5,21,13,0,1,0,8,0,674,2251,9,19,38,729,2262,2936,55,2991,Net-outflow,-12
39049005410,13,385,3,0,0,2,10,1,8,0,0,0,0,1,77,820,3,2,0,0,1,1,3,0,0,0,2,1,92,1216,6,2,17,423,910,1316,17,1333,Net-outflow,-20
